id,nombre,grupo,categoria,alcaldia,fecha_decreto,fecha_decreto_iso,superficie,programa_manejo,fecha_pm,fecha_pm_iso,suelo_conservacion_pct,dg_responsable,url_pdf_decreto,url_gaceta_decreto,url_pdf_pm,url_gaceta_pm
64,Insurgente Miguel Hidalgo y Costilla,ANP · Federal,Parque Nacional,Cuajimalpa de Morelos,18/09/1936,18/09/1936,525.05,Sí,21/04/2019,21/04/2019,95.96,DGSANPAVA,,,,
8,Jardín López Velarde,AVA · Bosque Urbano,Bosque Urbano,Cuauhtémoc,05/06/2024,05/06/2024,8.1,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1zHU5N_CXoRbO5ci0sA8NLFUfLLxFeluD/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/d726cdc28cc87efbb730ac77ff4a045a.pdf,,
46,La Armella,ANP · Local,Zona de Conservación Ecológica,Gustavo A. Madero,09/06/2006,09/06/2006,193.38,Sí,08/12/2006,08/12/2006,100,DGSANPAVA,https://drive.google.com/file/d/1aMnKJeLPBIOodlczf_PtSKXisygh-3RT/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/junio06_09_66bis.pdf,https://drive.google.com/file/d/11P_2cH99CTPluejlRItSn9RmdTwCJ3VK/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/diciembre06_08_02.pdf
47,La Loma,ANP · Local,Zona de Conservación Ecológica,Álvaro Obregón,20/04/2010,20/04/2010,77.33,Sí,21/05/2012,21/05/2012,0,DGSANPAVA,https://drive.google.com/file/d/1eAKpZHpIAu2GMQxdzhIxzzVr_ImMk4KK/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4bcd087fd6adc.pdf,https://drive.google.com/file/d/10CWqzu_V2cJGj3LmnTpdtsbRDGxajkXj/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4fb9b0c0d9f9f.pdf
65,Lago Tláhuac-Xico,ANP · Federal,Área de Protección de Recursos Naturales,Tláhuac,08/01/2024,08/01/2024,3545.41,No,—,—,65.7,DGCORENADR,,,,
66,Lomas de Padierna,ANP · Federal,Parque Nacional,"La Magdalena Contreras, Álvaro Obregón, Tlalpan",22/04/1938,22/04/1938,1161.21,No,—,—,11.83,DGSANPAVA,,,,
9,Loreto y Peña Pobre,AVA · Bosque Urbano,Bosque Urbano,Tlalpan,04/06/2024,04/06/2024,2.12,Sí,10/06/2026,10/06/2026,0,DGSANPAVA,https://drive.google.com/file/d/183lQQD-rJk98agZncw2nceSFY993YpLS/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/62076057b9728a48517139979b7604f2.pdf,https://drive.google.com/file/d/1cfqvPswN7_Di17ROGngEIvw4i7BCY5X9/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/98ac03e51882569e9e75f7fb0169da3d.pdf
48,Los Encinos,ANP · Local,Zona de Protección Hidrológica y Ecológica,Tlalpan,01/12/2009,01/12/2009,25.01,Sí,29/12/2016,29/12/2016,0,DGSANPAVA,https://drive.google.com/file/d/1XTHG1wXvGw5qZUMIo51dH2b-3nfyi5NF/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4bc69cbe30178.pdf,https://drive.google.com/file/d/10NzZ8w8S-E-1oLN0WVebN6mO63SVL8fo/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/da0bfb5826cbfb7a2a4f030d2441fcf5.pdf
10,Parque Cuitláhuac Sur y Norte,AVA · Bosque Urbano,Bosque Urbano,Iztapalapa,05/06/2024,05/06/2024,123.5,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1FsRXA_mFw25hkFWUrF3WAUXf0WOMRKn1/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/d726cdc28cc87efbb730ac77ff4a045a.pdf,,
49,Parque Ecológico de la Ciudad de México,ANP · Local,Zona Sujeta a Conservación Ecológica,Tlalpan,28/06/1989,28/06/1989,727.61,Sí,10/09/2021,10/09/2021,99.92,DGSANPAVA,https://drive.google.com/file/d/10AT_52EpdyUMQmK4g7aO3lDyba3mISX1/view,--,https://drive.google.com/file/d/10XimzP1yzoS52nDirnW2jfkzCkxGEABh/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/611a285a4d54eae9b44dc0294a31ff3a.pdf
11,Parque Lineal Vicente Guerrero,AVA · Bosque Urbano,Bosque Urbano,Iztapalapa,05/06/2024,05/06/2024,21.98,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1qtJnF2DoPzHJwwP-or-yn3Vt3UKH4jHx/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/d726cdc28cc87efbb730ac77ff4a045a.pdf,,
50,San Bernabé Ocotepec,ANP · Local,Reserva Ecológica Comunitaria,"La Magdalena Contreras, Álvaro Obregón",21/06/2010,21/06/2010,240.38,No,—,—,100,DGCORENADR,https://drive.google.com/file/d/1eChTqHCfo10FlaOsH0stjp9u1KeYFNkc/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4c1c48b157cdb.pdf,--,--
12,San Juan de Aragón,AVA · Bosque Urbano,Bosque Urbano,Gustavo A. Madero,12/12/2008,12/12/2008,160.18,Sí,31/05/2018,31/05/2018,0,DGSANPAVA,https://drive.google.com/file/d/12kXaSinvaAU-t16Di1yy9L8DRKYqN1C_/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/DICIEMBRE_12_08.pdf,https://drive.google.com/open?id=1TGbOLPIdjsLhnlxw4zFdhWgGs8Mc9yiY&usp=drive_fs,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/d666dd8ef846b97be1579960fecabf69.pdf
51,San Miguel Ajusco,ANP · Local,Reserva Ecológica Comunitaria,Tlalpan,16/11/2010,16/11/2010,1175.99,No,—,—,99.6,DGCORENADR,https://drive.google.com/file/d/1f-kZw1ZTlxMVp--iNIe9DmW1nNtBHGMR/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ce21b3b6edd2.pdf,--,--
52,San Miguel Topilejo,ANP · Local,Reserva Ecológica Comunitaria,"Tlalpan, Milpa Alta",26/06/2007,26/06/2007,6000.29,No,—,—,99.73,DGCORENADR,https://drive.google.com/file/d/1PAHMXTeyrhIE5_Jlu9d5-DePKCRyV3Gf/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/junio07_26_112.pdf,--,--
53,San Nicolás Totolapan,ANP · Local,Reserva Ecológica Comunitaria,"La Magdalena Contreras, Tlalpan",29/11/2006,29/11/2006,1984.7,No,—,—,100,DGCORENADR,https://drive.google.com/file/d/1k4bUu2WyTL7yXuG6IfIEA0U5BvNTwcdR/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/noviembre06_29_141.pdf,--,--
54,Sierra de Guadalupe (local),ANP · Local,Zona Sujeta a Conservación Ecológica,Gustavo A. Madero,20/08/2002,20/08/2002,633.68,Sí,08/11/2016,08/11/2016,99.54,DGSANPAVA,https://drive.google.com/file/d/17sriuu7jxPjPaCPiOrDuaFrdmWGtoQvD/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/agosto_20_112.pdf,https://drive.google.com/file/d/100vbMUHfljCvy31RWuzKwQSFCTsrc4iE/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/0239ee9e006a15977b93fa2e2546a5dd.pdf
55,Sierra de Santa Catarina (ZCE),ANP · Local,Zona de Conservación Ecológica,"Iztapalapa, Tláhuac",21/08/2003,21/08/2003,528,Sí,19/08/2005,19/08/2005,99.84,DGSANPAVA,https://drive.google.com/file/d/1l35Kfl1HJBSLZ66kkEb48lFaWr6h1gIK/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/agosto03_21_67.pdf,https://drive.google.com/file/d/10Q2BB-5MtV5gjTg8UkIFlvq9GEr3aCYT/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/agosto05_19_98.pdf
56,Sierra de Santa Catarina (ZSCE),ANP · Local,Zona Sujeta a Conservación Ecológica,"Tláhuac, Iztapalapa",21/08/2003,21/08/2003,220.55,Sí,19/08/2005,19/08/2005,99.87,DGSANPAVA,https://drive.google.com/file/d/1NqzOS-kVdQtPjFzTWnj5ahC3WUt_fp3Y/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/agosto03_21_67.pdf,https://drive.google.com/file/d/10Q2BB-5MtV5gjTg8UkIFlvq9GEr3aCYT/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/agosto05_19_98.pdf
57,Tempiluli,ANP · Local,Zona de Protección Especial,Tláhuac,11/08/2011,11/08/2011,47.55,Sí,06/11/2023,06/11/2023,100,DGCORENADR,https://drive.google.com/file/d/1BXn0jnDerf3H_Q5hEl3keCvXXGsHW1j1/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4e43efab17c8f.pdf,https://drive.google.com/file/d/11NhIfcvqH_VQPOixXSs0-4D_sKtES4-T/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/dc972b251726e01c75111932799419fc.pdf
13,Tepepolco,AVA · Bosque Urbano,Bosque Urbano,Iztapalapa,17/07/2024,17/07/2024,19.54,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/18cDF0qJWN13Itof4lKayRtDR9wsCCzl_/view,https://proyectos.sedema.cdmx.gob.mx/datos/storage/app/media/gacetas/GOCDMX_24-07-17_GOBIERNO.pdf,,
